Nom de l'annonce,Produit,Créateur,Type de contenu,Angle marketing,Hook,Audience,Mois,Nom Ad Set,Nom Campagne,Statut,Date de lancement,Personnes touchées,Impressions,Fréquence,Clics,Conversions (achats),Budget dépensé (€),Revenu estimé (€),ROAS,CPM (€),Coût par clic (€),Taux de clic (%),Coût par conversion (€),Taux de conversion (%),Hook rate (%),Panier moyen (€),Lien aperçu,ID Ad Set,ID Annonce
AG1_Motion-Vidéo_Science_V4,AG1 Powder,—,Motion/Vidéo,Science,Test goût,Large,Août 2025,AG1 Powder - Août 2025,AG1 - Prospection - AG1 Powder,En ligne,05/08/2025,266642,799981,3.0,5933,123,4280.36,10735.44,2.51,5.35,0.72,0.74,34.8,20.14,19.3,87.28,https://facebook.com/ads/preview/AD-48036,AD-13771,AD-48036
AG1_Motion-Vidéo_Voyage_V4,AG1 Powder,—,Motion/Vidéo,Voyage,Une journée avec moi,Large,Août 2025,AG1 Powder - Août 2025,AG1 - Prospection - AG1 Powder,En ligne,15/08/2025,574977,1025143,1.78,7759,1473,14070.74,166876.17,11.86,13.73,1.81,0.76,9.55,16.3,11.7,113.29,https://facebook.com/ads/preview/AD-33445,AD-13265,AD-33445
AG1_Podcast_Immunité_V5,AG1 Powder,—,Podcast,Immunité,Une journée avec moi,Large,Août 2025,AG1 Powder - Août 2025,AG1 - Acquisition - AG1 Powder,Arrêtée,07/08/2025,534170,1719901,3.22,7584,125,12405.93,13618.75,1.1,7.21,1.64,0.44,99.25,9.19,19.3,108.95,https://facebook.com/ads/preview/AD-79494,AD-25401,AD-79494
AG1_Podcast_Immunité_V5,AG1 Powder,—,Podcast,Immunité,Avant/Après,Large,Août 2025,AG1 Powder - Août 2025,AG1 - Acquisition - AG1 Powder,Arrêtée,10/08/2025,296643,421823,1.42,1551,165,7155.26,16884.45,2.36,16.96,4.61,0.37,43.37,34.3,29.5,102.33,https://facebook.com/ads/preview/AD-49309,AD-76144,AD-49309
AG1_Podcast_Promo_V3,AG1 Powder,—,Podcast,Promo,Comparatif,Large,Août 2025,AG1 Powder - Août 2025,AG1 - Prospection - AG1 Powder,Arrêtée,18/08/2025,198627,612893,3.09,5217,102,10305.88,9594.12,0.93,16.82,1.98,0.85,101.04,17.33,27.5,94.06,https://facebook.com/ads/preview/AD-59923,AD-66651,AD-59923
AG1_Podcast_Promo_V3,AG1 Powder,—,Podcast,Promo,Témoignage,Large,Août 2025,AG1 Powder - Août 2025,AG1 - Scale - AG1 Powder,En pause,23/08/2025,90478,212641,2.35,655,78,1360.15,8049.6,5.92,6.4,2.08,0.31,17.44,41.07,13.2,103.2,https://facebook.com/ads/preview/AD-13514,AD-34670,AD-13514
AG1_Podcast_Sport_V1,AG1 Powder,—,Podcast,Sport,Morning Ritual,Large,Août 2025,AG1 Powder - Août 2025,AG1 - Acquisition - AG1 Powder,Archivée,19/08/2025,23053,30339,1.32,77,166,7747.81,19744.04,2.55,255.37,100.62,0.25,46.67,12.99,14.4,118.94,https://facebook.com/ads/preview/AD-64927,AD-52725,AD-64927
AG1_Témoignage_Lifestyle_V1,AG1 Powder,—,Témoignage,Lifestyle,Morning Ritual,Large,Août 2025,AG1 Powder - Août 2025,AG1 - Scale - AG1 Powder,En ligne,01/08/2025,170784,316975,1.86,2948,637,9488.45,74095.84,7.81,29.93,3.22,0.93,14.9,8.89,—,116.32,https://facebook.com/ads/preview/AD-35929,AD-36099,AD-35929
AG1_UGC_Busy-Pro_V4,AG1 Powder,—,UGC,Busy Pro,Explication science,Large,Août 2025,AG1 Powder - Août 2025,AG1 - Test créa - AG1 Powder,En ligne,02/08/2025,251238,394257,1.57,2319,254,4692.58,22377.4,4.77,11.9,2.02,0.59,18.47,21.35,34.8,88.1,https://facebook.com/ads/preview/AD-30887,AD-36475,AD-30887
AG1_UGC_Digestion_V4,AG1 Powder,—,UGC,Digestion,Témoignage,Large,Août 2025,AG1 Powder - Août 2025,AG1 - Prospection - AG1 Powder,En ligne,27/08/2025,511567,1695843,3.31,14812,94,8687.47,9060.66,1.04,5.12,0.59,0.87,92.42,5.73,9.5,96.39,https://facebook.com/ads/preview/AD-16884,AD-25203,AD-16884
AG1_UGC_Digestion_V5,AG1 Powder,—,UGC,Digestion,Comparatif,Large,Août 2025,AG1 Powder - Août 2025,AG1 - Test créa - AG1 Powder,En ligne,04/08/2025,72536,140733,1.94,1217,38,1562.79,4332.38,2.77,11.1,1.28,0.86,41.13,7.07,11.7,114.01,https://facebook.com/ads/preview/AD-37556,AD-54352,AD-37556
AG1_UGC_Lifestyle_V1,AG1 Powder,—,UGC,Lifestyle,Explication science,Large,Août 2025,AG1 Powder - Août 2025,AG1 - Scale - AG1 Powder,En pause,07/08/2025,28986,42566,1.47,180,149,5476.84,15494.51,2.83,128.67,30.43,0.42,36.76,20.56,32.4,103.99,https://facebook.com/ads/preview/AD-35701,AD-10935,AD-35701
AG1_UGC_Promo_V5,AG1 Powder,—,UGC,Promo,Morning Ritual,Large,Août 2025,AG1 Powder - Août 2025,AG1 - Scale - AG1 Powder,En ligne,21/08/2025,408388,1528571,3.74,7730,13,1362.54,1138.93,0.84,0.89,0.18,0.51,104.81,21.51,33.9,87.61,https://facebook.com/ads/preview/AD-39809,AD-99983,AD-39809
AG1_UGC_Sport_V3,AG1 Powder,—,UGC,Sport,Avant/Après,Large,Août 2025,AG1 Powder - Août 2025,AG1 - Prospection - AG1 Powder,En ligne,12/08/2025,771255,2400118,3.11,14267,1384,11482.54,127272.64,11.08,4.78,0.8,0.59,8.3,5.61,34.2,91.96,https://facebook.com/ads/preview/AD-72978,AD-86161,AD-72978
AG1_UGC_Voyage_V1,AG1 Powder,—,UGC,Voyage,Avant/Après,Large,Août 2025,AG1 Powder - Août 2025,AG1 - Scale - AG1 Powder,Archivée,24/08/2025,90053,242805,2.7,2212,39,5032.68,4279.86,0.85,20.73,2.28,0.91,129.04,14.74,10.8,109.74,https://facebook.com/ads/preview/AD-12946,AD-50957,AD-12946
AG1_Ava_Balance_Image statique_Digestion_V3,AG1 Powder,Ava_Balance,Image statique,Digestion,Avant/Après,Large,Août 2025,AG1 Powder - Ava Balance - Août 2025,AG1 - Prospection - AG1 Powder,En pause,27/08/2025,96454,252005,2.61,768,858,10290.18,75152.22,7.3,40.83,13.4,0.3,11.99,22.01,—,87.59,https://facebook.com/ads/preview/AD-77194,AD-58163,AD-77194
AG1_Ava_Balance_Podcast_Routine-matinale_V3,AG1 Powder,Ava_Balance,Podcast,Routine matinale,Avant/Après,Large,Août 2025,AG1 Powder - Ava Balance - Août 2025,AG1 - Prospection - AG1 Powder,En ligne,28/08/2025,347388,917925,2.64,8012,210,10321.35,24194.1,2.34,11.24,1.29,0.87,49.15,13.55,14.1,115.21,https://facebook.com/ads/preview/AD-34744,AD-66093,AD-34744
AG1_Ava_Balance_Podcast_Voyage_V4,AG1 Powder,Ava_Balance,Podcast,Voyage,Explication science,Large,Août 2025,AG1 Powder - Ava Balance - Août 2025,AG1 - Prospection - AG1 Powder,Arrêtée,17/08/2025,162200,478564,2.95,4009,149,4367.44,12995.78,2.98,9.13,1.09,0.84,29.31,9.8,18.3,87.22,https://facebook.com/ads/preview/AD-15376,AD-99505,AD-15376
AG1_Ava_Balance_UGC_Énergie_V2,AG1 Powder,Ava_Balance,UGC,Énergie,Avant/Après,Large,Août 2025,AG1 Powder - Ava Balance - Août 2025,AG1 - Test créa - AG1 Powder,Arrêtée,09/08/2025,146412,584911,3.99,2664,143,11900.0,15807.22,1.33,20.34,4.47,0.46,83.22,24.62,20.9,110.54,https://facebook.com/ads/preview/AD-87728,AD-32738,AD-87728
AG1_Ava_Balance_Motion-Vidéo_Lifestyle_V2,AG1 Powder,Ava_Balance,Motion/Vidéo,Lifestyle,Morning Ritual,Large,Juillet 2025,AG1 Powder - Ava Balance - Juillet 2025,AG1 - Test créa - AG1 Powder,Arrêtée,15/07/2025,430252,615101,1.43,1681,669,14578.56,67923.57,4.66,23.7,8.67,0.27,21.79,43.49,22.3,101.53,https://facebook.com/ads/preview/AD-30631,AD-54681,AD-30631
AG1_Ava_Balance_Podcast_Promo_V4,AG1 Powder,Ava_Balance,Podcast,Promo,Une journée avec moi,Large,Juillet 2025,AG1 Powder - Ava Balance - Juillet 2025,AG1 - Scale - AG1 Powder,Arrêtée,13/07/2025,379685,1226006,3.23,10214,68,9610.07,7590.84,0.79,7.84,0.94,0.83,141.32,9.86,9.5,111.63,https://facebook.com/ads/preview/AD-77251,AD-57619,AD-77251
AG1_Ava_Balance_Podcast_Voyage_V2,AG1 Powder,Ava_Balance,Podcast,Voyage,Témoignage,Large,Juillet 2025,AG1 Powder - Ava Balance - Juillet 2025,AG1 - Prospection - AG1 Powder,Arrêtée,10/07/2025,128118,293551,2.29,2274,410,9741.87,41934.8,4.3,33.19,4.28,0.77,23.76,15.17,8.4,102.28,https://facebook.com/ads/preview/AD-98395,AD-84420,AD-98395
AG1_Ava_Balance_Témoignage_Immunité_V2,AG1 Powder,Ava_Balance,Témoignage,Immunité,Test goût,Large,Juillet 2025,AG1 Powder - Ava Balance - Juillet 2025,AG1 - Scale - AG1 Powder,En ligne,05/07/2025,64835,212013,3.27,516,27,730.46,2319.03,3.17,3.45,1.42,0.24,27.05,18.41,—,85.89,https://facebook.com/ads/preview/AD-74340,AD-93606,AD-74340
AG1_Ava_Balance_Image statique_Digestion_V4,AG1 Powder,Ava_Balance,Image statique,Digestion,Morning Ritual,Large,Novembre 2025,AG1 Powder - Ava Balance - Novembre 2025,AG1 - Prospection - AG1 Powder,En ligne,07/11/2025,745463,1601271,2.15,10263,28,9712.29,3003.56,0.31,6.07,0.95,0.64,346.87,14.3,—,107.27,https://facebook.com/ads/preview/AD-39233,AD-24020,AD-39233
AG1_Ava_Balance_UGC_Sport_V4,AG1 Powder,Ava_Balance,UGC,Sport,Explication science,Large,Novembre 2025,AG1 Powder - Ava Balance - Novembre 2025,AG1 - Acquisition - AG1 Powder,Archivée,07/11/2025,91378,236682,2.59,1907,40,3124.34,4670.4,1.49,13.2,1.64,0.81,78.11,11.59,11.8,116.76,https://facebook.com/ads/preview/AD-76801,AD-55702,AD-76801
AG1_Ava_Balance_Image statique_Routine-matinale_V5,AG1 Powder,Ava_Balance,Image statique,Routine matinale,Avant/Après,Large,Octobre 2025,AG1 Powder - Ava Balance - Octobre 2025,AG1 - Acquisition - AG1 Powder,En ligne,19/10/2025,346551,738239,2.13,6977,181,14367.3,20170.64,1.4,19.46,2.06,0.95,79.38,6.26,—,111.44,https://facebook.com/ads/preview/AD-33979,AD-79457,AD-33979
AG1_Ava_Balance_Podcast_Lifestyle_V1,AG1 Powder,Ava_Balance,Podcast,Lifestyle,Explication science,Large,Octobre 2025,AG1 Powder - Ava Balance - Octobre 2025,AG1 - Acquisition - AG1 Powder,Arrêtée,27/10/2025,490747,1199397,2.44,5546,27,2399.77,2568.78,1.07,2.0,0.43,0.46,88.88,28.49,13.9,95.14,https://facebook.com/ads/preview/AD-19552,AD-11448,AD-19552
AG1_Ava_Balance_Podcast_Lifestyle_V2,AG1 Powder,Ava_Balance,Podcast,Lifestyle,Test goût,Large,Octobre 2025,AG1 Powder - Ava Balance - Octobre 2025,AG1 - Test créa - AG1 Powder,En pause,09/10/2025,68406,132478,1.94,1181,146,8617.61,16538.88,1.92,65.05,7.3,0.89,59.02,11.35,19.1,113.28,https://facebook.com/ads/preview/AD-71894,AD-46572,AD-71894
AG1_Ava_Balance_UGC_Immunité_V3,AG1 Powder,Ava_Balance,UGC,Immunité,Explication science,Large,Octobre 2025,AG1 Powder - Ava Balance - Octobre 2025,AG1 - Test créa - AG1 Powder,En pause,03/10/2025,33779,73443,2.17,574,76,1876.6,8597.88,4.58,25.55,3.27,0.78,24.69,17.25,29.8,113.13,https://facebook.com/ads/preview/AD-88624,AD-22396,AD-88624
AG1_Ava_Balance_UGC_Lifestyle_V2,AG1 Powder,Ava_Balance,UGC,Lifestyle,Challenge,Large,Octobre 2025,AG1 Powder - Ava Balance - Octobre 2025,AG1 - Test créa - AG1 Powder,En pause,20/10/2025,33590,56060,1.67,165,71,3942.11,7375.48,1.87,70.32,23.89,0.29,55.52,23.03,15.7,103.88,https://facebook.com/ads/preview/AD-98060,AD-95381,AD-98060
AG1_Ava_Balance_Podcast_Busy-Pro_V1,AG1 Powder,Ava_Balance,Podcast,Busy Pro,Avant/Après,Large,Septembre 2025,AG1 Powder - Ava Balance - Septembre 2025,AG1 - Test créa - AG1 Powder,Arrêtée,13/09/2025,418486,751692,1.8,6246,814,10183.29,78249.82,7.68,13.55,1.63,0.83,12.51,15.24,22.9,96.13,https://facebook.com/ads/preview/AD-87635,AD-72503,AD-87635
AG1_Ava_Balance_Podcast_Routine-matinale_V3,AG1 Powder,Ava_Balance,Podcast,Routine matinale,Une journée avec moi,Large,Septembre 2025,AG1 Powder - Ava Balance - Septembre 2025,AG1 - Acquisition - AG1 Powder,En pause,26/09/2025,56811,166474,2.93,1657,39,8584.88,3898.05,0.45,51.57,5.18,1.0,220.13,12.55,24.6,99.95,https://facebook.com/ads/preview/AD-16400,AD-41949,AD-16400
AG1_Ava_Balance_UGC_Lifestyle_V1,AG1 Powder,Ava_Balance,UGC,Lifestyle,Challenge,Large,Septembre 2025,AG1 Powder - Ava Balance - Septembre 2025,AG1 - Scale - AG1 Powder,Arrêtée,12/09/2025,59359,148277,2.5,1303,608,6846.0,51825.92,7.57,46.17,5.25,0.88,11.26,12.89,34.1,85.24,https://facebook.com/ads/preview/AD-23466,AD-90999,AD-23466
AG1_Ava_Balance_UGC_Science_V3,AG1 Powder,Ava_Balance,UGC,Science,Comparatif,Large,Septembre 2025,AG1 Powder - Ava Balance - Septembre 2025,AG1 - Acquisition - AG1 Powder,En ligne,05/09/2025,795175,2727331,3.43,11040,249,7125.25,23099.73,3.24,2.61,0.65,0.4,28.62,15.05,31.7,92.77,https://facebook.com/ads/preview/AD-84545,AD-26248,AD-84545
AG1_Ben_Recovery_Motion-Vidéo_Sport_V4,AG1 Powder,Ben_Recovery,Motion/Vidéo,Sport,Comparatif,Large,Août 2025,AG1 Powder - Ben Recovery - Août 2025,AG1 - Test créa - AG1 Powder,Arrêtée,18/08/2025,53858,172677,3.21,889,49,10817.0,5782.0,0.53,62.64,12.17,0.51,220.76,24.97,33.4,118.0,https://facebook.com/ads/preview/AD-94068,AD-78843,AD-94068
AG1_Ben_Recovery_Podcast_Science_V2,AG1 Powder,Ben_Recovery,Podcast,Science,Comparatif,Large,Août 2025,AG1 Powder - Ben Recovery - Août 2025,AG1 - Acquisition - AG1 Powder,Archivée,10/08/2025,99056,250498,2.53,2108,19,1439.1,2082.59,1.45,5.74,0.68,0.84,75.74,11.62,26.9,109.61,https://facebook.com/ads/preview/AD-94465,AD-99715,AD-94465
AG1_Ben_Recovery_Témoignage_Routine-matinale_V3,AG1 Powder,Ben_Recovery,Témoignage,Routine matinale,Morning Ritual,Large,Août 2025,AG1 Powder - Ben Recovery - Août 2025,AG1 - Acquisition - AG1 Powder,Arrêtée,28/08/2025,54894,139330,2.54,861,407,9825.06,48306.83,4.92,70.52,11.41,0.62,24.14,8.94,—,118.69,https://facebook.com/ads/preview/AD-29523,AD-80328,AD-29523
AG1_Ben_Recovery_UGC_Lifestyle_V5,AG1 Powder,Ben_Recovery,UGC,Lifestyle,Test goût,Large,Août 2025,AG1 Powder - Ben Recovery - Août 2025,AG1 - Scale - AG1 Powder,Archivée,28/08/2025,56980,138779,2.44,924,233,14854.82,22258.49,1.5,107.04,16.08,0.67,63.75,21.0,24.5,95.53,https://facebook.com/ads/preview/AD-48559,AD-26718,AD-48559
AG1_Ben_Recovery_UGC_Science_V4,AG1 Powder,Ben_Recovery,UGC,Science,Comparatif,Large,Août 2025,AG1 Powder - Ben Recovery - Août 2025,AG1 - Acquisition - AG1 Powder,En pause,24/08/2025,66316,116589,1.76,1032,3,329.86,318.99,0.97,2.83,0.32,0.89,109.95,5.81,29.0,106.33,https://facebook.com/ads/preview/AD-96283,AD-18302,AD-96283
AG1_Ben_Recovery_UGC_Voyage_V4,AG1 Powder,Ben_Recovery,UGC,Voyage,Comparatif,Large,Août 2025,AG1 Powder - Ben Recovery - Août 2025,AG1 - Acquisition - AG1 Powder,Arrêtée,04/08/2025,34393,79855,2.32,496,9,409.65,852.75,2.08,5.13,0.83,0.62,45.52,8.27,18.3,94.75,https://facebook.com/ads/preview/AD-32040,AD-81012,AD-32040
AG1_Ben_Recovery_Motion-Vidéo_Sport_V3,AG1 Powder,Ben_Recovery,Motion/Vidéo,Sport,Morning Ritual,Large,Novembre 2025,AG1 Powder - Ben Recovery - Novembre 2025,AG1 - Scale - AG1 Powder,Archivée,28/11/2025,34431,98158,2.85,820,1179,11859.12,106192.53,8.95,120.82,14.46,0.84,10.06,15.12,13.6,90.07,https://facebook.com/ads/preview/AD-78560,AD-30955,AD-78560
AG1_Ben_Recovery_Podcast_Routine-matinale_V5,AG1 Powder,Ben_Recovery,Podcast,Routine matinale,Explication science,Large,Novembre 2025,AG1 Powder - Ben Recovery - Novembre 2025,AG1 - Prospection - AG1 Powder,Arrêtée,23/11/2025,480663,578015,1.2,2892,235,4439.98,21965.45,4.95,7.68,1.54,0.5,18.89,28.01,11.6,93.47,https://facebook.com/ads/preview/AD-15508,AD-50414,AD-15508
AG1_Ben_Recovery_Témoignage_Immunité_V3,AG1 Powder,Ben_Recovery,Témoignage,Immunité,Comparatif,Large,Novembre 2025,AG1 Powder - Ben Recovery - Novembre 2025,AG1 - Prospection - AG1 Powder,Arrêtée,25/11/2025,217183,949178,4.37,4960,48,624.68,4479.36,7.17,0.66,0.13,0.52,13.01,11.03,—,93.32,https://facebook.com/ads/preview/AD-79329,AD-91910,AD-79329
AG1_Ben_Recovery_UGC_Promo_V4,AG1 Powder,Ben_Recovery,UGC,Promo,Explication science,Large,Novembre 2025,AG1 Powder - Ben Recovery - Novembre 2025,AG1 - Acquisition - AG1 Powder,Arrêtée,02/11/2025,321358,1321258,4.11,8112,320,5622.87,34281.6,6.1,4.26,0.69,0.61,17.57,6.58,24.4,107.13,https://facebook.com/ads/preview/AD-69350,AD-29549,AD-69350
AG1_Ben_Recovery_UGC_Énergie_V5,AG1 Powder,Ben_Recovery,UGC,Énergie,Témoignage,Large,Novembre 2025,AG1 Powder - Ben Recovery - Novembre 2025,AG1 - Test créa - AG1 Powder,En ligne,03/11/2025,781206,1528726,1.96,5738,177,4341.12,15604.32,3.59,2.84,0.76,0.38,24.53,36.18,16.3,88.16,https://facebook.com/ads/preview/AD-32048,AD-75039,AD-32048
AG1_Ben_Recovery_Image statique_Routine-matinale_V5,AG1 Powder,Ben_Recovery,Image statique,Routine matinale,Challenge,Large,Octobre 2025,AG1 Powder - Ben Recovery - Octobre 2025,AG1 - Scale - AG1 Powder,Arrêtée,08/10/2025,31489,88804,2.82,241,888,13642.36,81278.64,5.96,153.62,56.61,0.27,15.36,42.74,—,91.53,https://facebook.com/ads/preview/AD-58050,AD-45274,AD-58050
AG1_Ben_Recovery_Image statique_Sport_V2,AG1 Powder,Ben_Recovery,Image statique,Sport,Avant/Après,Large,Octobre 2025,AG1 Powder - Ben Recovery - Octobre 2025,AG1 - Prospection - AG1 Powder,En pause,01/10/2025,42844,54692,1.28,336,92,14189.77,10001.32,0.7,259.45,42.23,0.61,154.24,23.21,—,108.71,https://facebook.com/ads/preview/AD-22917,AD-98502,AD-22917
AG1_Ben_Recovery_Témoignage_Lifestyle_V3,AG1 Powder,Ben_Recovery,Témoignage,Lifestyle,Morning Ritual,Large,Octobre 2025,AG1 Powder - Ben Recovery - Octobre 2025,AG1 - Prospection - AG1 Powder,En pause,01/10/2025,43636,91746,2.1,641,104,14674.82,9664.72,0.66,159.95,22.89,0.7,141.1,6.4,—,92.93,https://facebook.com/ads/preview/AD-59895,AD-49676,AD-59895
AG1_Ben_Recovery_Témoignage_Sport_V1,AG1 Powder,Ben_Recovery,Témoignage,Sport,Une journée avec moi,Large,Octobre 2025,AG1 Powder - Ben Recovery - Octobre 2025,AG1 - Prospection - AG1 Powder,En pause,06/10/2025,25994,49019,1.89,319,76,3298.19,8297.68,2.52,67.28,10.34,0.65,43.4,17.55,—,109.18,https://facebook.com/ads/preview/AD-52706,AD-13836,AD-52706
AG1_Ben_Recovery_UGC_Lifestyle_V2,AG1 Powder,Ben_Recovery,UGC,Lifestyle,Témoignage,Large,Octobre 2025,AG1 Powder - Ben Recovery - Octobre 2025,AG1 - Test créa - AG1 Powder,Archivée,22/10/2025,97881,240724,2.46,1312,460,8599.66,41312.6,4.8,35.72,6.55,0.55,18.69,6.25,17.1,89.81,https://facebook.com/ads/preview/AD-69682,AD-33440,AD-69682
AG1_Ben_Recovery_UGC_Routine-matinale_V1,AG1 Powder,Ben_Recovery,UGC,Routine matinale,Challenge,Large,Octobre 2025,AG1 Powder - Ben Recovery - Octobre 2025,AG1 - Acquisition - AG1 Powder,En pause,25/10/2025,35865,74259,2.07,158,133,14101.76,15608.88,1.11,189.9,89.25,0.21,106.03,64.56,31.5,117.36,https://facebook.com/ads/preview/AD-50134,AD-93888,AD-50134
AG1_Ben_Recovery_UGC_Voyage_V5,AG1 Powder,Ben_Recovery,UGC,Voyage,Avant/Après,Large,Octobre 2025,AG1 Powder - Ben Recovery - Octobre 2025,AG1 - Prospection - AG1 Powder,Arrêtée,25/10/2025,148028,547795,3.7,2125,290,5446.75,31349.0,5.76,9.94,2.56,0.39,18.78,7.91,21.9,108.1,https://facebook.com/ads/preview/AD-62716,AD-55654,AD-62716
AG1_Ben_Recovery_Podcast_Lifestyle_V4,AG1 Powder,Ben_Recovery,Podcast,Lifestyle,Test goût,Large,Septembre 2025,AG1 Powder - Ben Recovery - Septembre 2025,AG1 - Scale - AG1 Powder,Arrêtée,27/09/2025,24219,95218,3.93,584,324,5039.4,33546.96,6.66,52.92,8.63,0.61,15.55,10.62,25.9,103.54,https://facebook.com/ads/preview/AD-73485,AD-88085,AD-73485
AG1_Ben_Recovery_Podcast_Science_V3,AG1 Powder,Ben_Recovery,Podcast,Science,Morning Ritual,Large,Septembre 2025,AG1 Powder - Ben Recovery - Septembre 2025,AG1 - Prospection - AG1 Powder,En pause,25/09/2025,44543,101225,2.27,381,63,6742.16,7333.2,1.09,66.61,17.7,0.38,107.02,9.19,31.6,116.4,https://facebook.com/ads/preview/AD-24459,AD-91957,AD-24459
AG1_Ben_Recovery_Podcast_Sport_V1,AG1 Powder,Ben_Recovery,Podcast,Sport,Test goût,Large,Septembre 2025,AG1 Powder - Ben Recovery - Septembre 2025,AG1 - Acquisition - AG1 Powder,Archivée,27/09/2025,60325,104616,1.73,420,1120,10311.5,108494.4,10.52,98.57,24.55,0.4,9.21,34.05,17.1,96.87,https://facebook.com/ads/preview/AD-81139,AD-13084,AD-81139
AG1_Ben_Recovery_Podcast_Sport_V5,AG1 Powder,Ben_Recovery,Podcast,Sport,Comparatif,Large,Septembre 2025,AG1 Powder - Ben Recovery - Septembre 2025,AG1 - Scale - AG1 Powder,En ligne,23/09/2025,237526,938663,3.95,6943,85,5782.9,9894.0,1.71,6.16,0.83,0.74,68.03,12.67,12.1,116.4,https://facebook.com/ads/preview/AD-43795,AD-87352,AD-43795
AG1_Ben_Recovery_UGC_Voyage_V1,AG1 Powder,Ben_Recovery,UGC,Voyage,Témoignage,Large,Septembre 2025,AG1 Powder - Ben Recovery - Septembre 2025,AG1 - Scale - AG1 Powder,En ligne,13/09/2025,542053,1078300,1.99,9589,7,112.5,752.29,6.69,0.1,0.01,0.89,16.07,15.73,27.7,107.47,https://facebook.com/ads/preview/AD-61727,AD-64502,AD-61727
